,date,time,latitude,longitude,material_at_origin,land_use_at_origin,size,suppressed_by,suppressing_agency,facility_identification,other_companies,voltage_volts_,equipment_involved_with_ignition,type,was_there_an_outage,date_1,time_1,suspected_ignition_cause,equipment_facility_failure,contact_from_object,facility_contacted,contributing_factor,facility_identification_circuit,suspected_initiating_event,unnamed_23
7,2019-07-16,19:08.00,33.190444,-117.12123799999999,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Deer Springs,P610712,Telco,12kV,Conductor,Overhead,Yes,2019-07-16,19:08:00,Contact Between Third Party Facility on Pole and Supply Lines,,Vegetation,Electric Facility,Other,,,
8,2019-08-05,14:14.00,32.788589,-117.123297,Vegetation,Urban,Less Than .25 Acres,Utility,,Z479779,,12 kV,Switch,Overhead,No,,,Equipment/Facility Failure,Other,,,None,,,
9,2019-08-30,17:50.00,33.245225,-117.37293999999999,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Camp Pendleton,Z223445,,230kV,Other,Overhead,Yes,2019-08-30,17:50:00,Unknown,,,,Unknown,,,
10,2019-09-10,12:59.00,32.564,-117.03299999999999,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,San Diego,P194970,,12kV,Switch,Overhead,Yes,2019-09-10,12:55:00,Equipment/Facility Failure,Switch,,,None,,,
11,2019-09-11,14:17.00,33.226,-117.085,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CalFire,P228412,,12kV,Lightning Arrestor,Overhead,Yes,2019-09-11,14:17:00,Contact From Object,,Animal,Electric Facility,None,,,
12,2019-09-13,11:27.00,32.787,-117.007,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Heartland,P378838,,12kV,Other,Overhead,Yes,2019-09-13,11:27:00,Equipment/Facility Failure,Splice/Clamp/Connector,,,Unknown,,,
13,2019-09-30,02:59.00,33.261811,-116.37051000000001,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Ramona ,P277947,,12kV,Other,Overhead,Yes,2019-09-30,02:59:00,Equipment/Facility Failure,Guy/Span Wire,,,Other,,,
14,2019-10-17,12:15.00,33.27361111,-116.39305559999998,Vegetation,Urban,Less Than .25 Acres,Utility,,P236651J,,120/240,Conductor,Overhead,No,,,Other,,,,Human Error,,,
15,2019-10-19,13:10.00,33.231681,-117.25932900000001,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Oceanside,meter pole Station 901-1460,,240V,Conductor,Overhead,Yes,2019-10-19,13:10:00,Other,,Other,,Human Error,,,
16,2019-10-24,10:13.00,32.835712,-116.72516599999999,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Alpine FD,P377113,Telco,12kV,Fuse,Overhead,Yes,2019-10-24,10:13:00,Equipment/Facility Failure,Fuse,,,None,,,
17,2019-10-25,03:26.00,33.120956,-117.15857,Vegetation,Urban,.26 - 9.99 Acres,Fire Agency,CalFire,P211697,Telco,12kV,Other,Overhead,Yes,2019-10-25,03:26:00,Equipment/Facility Failure,Other,,,Other,,,
18,2019-11-01,05:49.00,33.092424699999995,-117.0206295,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Escondido FD,P15147,Telco,12kv,Conductor,Overhead,Yes,2019-11-01,05:48:00,Contact From Object,,Vehicle,Pole,None,,,
19,2019-11-04,15:30.00,33.228455,-116.75745800000001,Vegetation,Rural,Less Than .25 Acres,Utility,CalFire,P19533,,12kV,Conductor,Overhead,Yes,2019-11-04,15:30:00,Equipment/Facility Failure,Other,,,None,,,
20,2019-11-12,07:51.00,33.190276000000004,-117.369773,Other,Urban,Less Than .25 Acres,Fire Agency,Oceanside FD,P22213,Tele&Cbl,120/240,Conductor,Overhead,Yes,2019-11-12,07:51:00,Equipment/Facility Failure,Conductor,,,Unknown,,,
0,2021-02-28,14:00.00,33.437,-117.569,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,P227391,,12kv,Transformer,Overhead,Yes,2021-02-28,14:00:00,Contact From Object,,Animal,Electric Facility,Outside Force,,,
1,2021-03-22,08:00.00,33.243137,-117.35983,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,Z222386,,230kV,Conductor,Overhead,No,,,Contact From Object,Conductor,Balloons,,Other,,,
2,2021-03-25,10:00.00,32.971,-117.262,Vegetation,Urban,Less Than .25 Acres,Utility,,Z12304,,12kv,Transformer,Overhead,Yes,2021-03-25,10:00:00,Equipment/Facility Failure,Transformer,,,Unknown,,,
3,2021-04-30,13:55.00,33.017783,-116.86608400000001,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Ramona CAL FIRE,P110643,,120v,Conductor,Overhead,No,,,Equipment/Facility Failure,Conductor,,,Unknown,,,
4,2021-05-07,13:10.00,33.338,-117.154,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE/ NCFPD,,,12kv,Conductor,Overhead,Yes,2021-05-07,13:10:00,Unknown,,Other,Electric Facility,Outside Force,,,
5,2021-05-11,10:48.00,32.85,-116.936,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Lakeside FD,,,12kv,Conductor,Overhead,Yes,2021-05-11,10:48:00,Contact From Object,,Balloons,Electric Facility,Outside Force,,,
